candidate_ticker,candidate_bucket,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,final_score,recommendation_reason,weights_snapshot
IAU,gold,PASS,PASS,20.0,20.0,2000000.0,1862878.997183,137121.002817,"{""IAU"": 13}",1,0.597359,0.499672,-0.71603,-0.631395,-0.080312,-0.067297,0.183057,0.232243,0.256223,0.40475,-0.002338,-0.002012,0.58866,0.611051,1.802684,1.537146,16.353071,11.820025,16.205716,0.000326,-0.022391,0.265537,0.265537,0.148527,57.96784,2019363793005.4602,0.9275,0.602861,0.676782,0.913303,1.0,0.168939,0.780331,"Sharpe 개선, CVaR 개선, 노출(beta/corr) 감소","{""TSLA"": 83.3333, ""IAU"": 15.524, ""__CASH__"": 1.1427}"
GLD,gold,PASS,PASS,20.0,20.0,2000000.0,1399623.197496,600376.802504,"{""GLD"": 2}",1,0.597359,0.499064,-0.71603,-0.632742,-0.080312,-0.067199,0.183057,0.218669,0.256223,0.378045,-0.002338,-0.001996,0.58866,0.607699,1.802684,1.528522,16.45486,11.631936,16.327077,0.000342,-0.019038,0.274162,0.274162,0.121822,47.545081,11790667527650.867,1.0,0.562744,0.708358,1.0,0.747865,1.0,0.829007,"CVaR 개선, 노출(beta/corr) 감소, 유동성 양호","{""TSLA"": 83.3333, ""GLD"": 11.6635, ""__CASH__"": 5.0031}"
BTC-USD,crypto,FAIL,FAIL: 예산 부족 - BTC-USD 1주 매수 불가,20.0,20.0,2000000.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
USO,commodity_energy,PASS,PASS,20.0,20.0,2000000.0,1860345.50391,139654.49609,"{""USO"": 12}",1,0.597359,0.504457,-0.71603,-0.631176,-0.080312,-0.068064,0.183057,0.233684,0.256223,0.403769,-0.002338,-0.002084,0.58866,0.597015,1.802684,1.582134,15.552137,11.850673,15.250314,0.000253,-0.008355,0.220549,0.220549,0.147545,57.584629,1970411030431.8335,0.356755,0.609398,0.5365,0.461078,0.99073,0.164776,0.507463,"Sharpe 개선, MDD 개선, Stress 방어","{""TSLA"": 83.3333, ""USO"": 15.5029, ""__CASH__"": 1.1638}"
DBC,commodity_energy,FAIL,FAIL: Stress 개선 미달,20.0,20.0,2000000.0,1980549.215753,19450.784247,"{""DBC"": 49}",1,0.597359,0.502807,-0.71603,-0.631416,-0.080312,-0.067972,0.183057,0.216941,0.256223,0.371795,-0.002338,-0.002361,0.58866,0.616417,1.802684,1.568797,15.828274,11.817149,15.365174,-2.4e-05,-0.027757,0.233886,0.233886,0.115572,45.105934,33038140848.53505,0.42537,0.602248,0.0,0.595142,0.68886,0.0,0.397729,"Sharpe 개선, MDD 개선, 노출(beta/corr) 감소","{""TSLA"": 83.3333, ""DBC"": 16.5046, ""__CASH__"": 0.1621}"
XLU,defensive,PASS,PASS,20.0,20.0,2000000.0,1977385.991565,22614.008435,"{""XLU"": 29}",1,0.597359,0.503456,-0.71603,-0.628618,-0.080312,-0.06759,0.183057,0.213853,0.256223,0.365182,-0.002338,-0.001992,0.58866,0.615275,1.802684,1.592643,15.719677,12.207846,15.840509,0.000345,-0.026615,0.210041,0.210041,0.108958,42.524787,1652371120898.9595,0.70933,0.685579,0.714842,0.355445,0.62642,0.137726,0.633423,"Stress 방어, CVaR 개선, MDD 개선","{""TSLA"": 83.3333, ""XLU"": 16.4782, ""__CASH__"": 0.1885}"
XLP,defensive,PASS,PASS,20.0,20.0,2000000.0,1883015.515145,116984.484855,"{""XLP"": 15}",1,0.597359,0.502222,-0.71603,-0.630898,-0.080312,-0.067613,0.183057,0.205186,0.256223,0.348821,-0.002338,-0.002101,0.58866,0.615445,1.802684,1.585496,15.926199,11.889457,15.811449,0.000237,-0.026785,0.217188,0.217188,0.092597,36.139327,2488623226050.437,0.69197,0.61767,0.504004,0.427287,0.47195,0.20885,0.566891,"CVaR 개선, MDD 개선, Stress 방어","{""TSLA"": 83.3333, ""XLP"": 15.6918, ""__CASH__"": 0.9749}"
XLE,commodity_energy,PASS,PASS,20.0,20.0,2000000.0,1954188.675276,45811.324724,"{""XLE"": 24}",1,0.597359,0.507441,-0.71603,-0.618063,-0.080312,-0.068544,0.183057,0.231151,0.256223,0.396404,-0.002338,-0.002155,0.58866,0.616217,1.802684,1.628003,15.05265,13.681999,14.653124,0.000183,-0.027557,0.174681,0.174681,0.14018,54.710154,3906806844881.679,0.0,1.0,0.399847,0.0,0.921194,0.329469,0.388562,"MDD 개선, Sharpe 개선, Stress 방어","{""TSLA"": 83.3333, ""XLE"": 16.2849, ""__CASH__"": 0.3818}"
IEF,bond,PASS,PASS,20.0,20.0,2000000.0,1977268.8257,22731.1743,"{""IEF"": 14}",1,0.597359,0.49924,-0.71603,-0.641556,-0.080312,-0.067256,0.183057,0.188452,0.256223,0.317386,-0.002338,-0.001941,0.58866,0.613197,1.802684,1.534314,16.425469,10.400984,16.256019,0.000397,-0.024537,0.26837,0.26837,0.061163,23.871026,1255579678720.9255,0.957551,0.300195,0.81373,0.941776,0.175169,0.103979,0.674821,"CVaR 개선, 노출(beta/corr) 감소, Stress 방어","{""TSLA"": 83.3333, ""IEF"": 16.4772, ""__CASH__"": 0.1894}"
TLT,bond,PASS,PASS,20.0,20.0,2000000.0,1939251.10839,60748.89161,"{""TLT"": 15}",1,0.597359,0.5002,-0.71603,-0.651634,-0.080312,-0.067405,0.183057,0.179476,0.256223,0.298833,-0.002338,-0.002048,0.58866,0.614038,1.802684,1.534624,16.264783,8.993528,16.07126,0.000289,-0.025378,0.268059,0.268059,0.04261,16.629882,4971757114543.927,0.847178,0.0,0.605971,0.938658,0.0,0.420044,0.532575,"노출(beta/corr) 감소, CVaR 개선, Stress 방어","{""TSLA"": 83.3333, ""TLT"": 16.1604, ""__CASH__"": 0.5062}"
